protein_A	protein_B	UniProt ID (protein_A)	UniProt ID (protein_B)	source
aspC__b0928__JW0911	aspC__b0928__JW0911	P00509	P00509	Y2H_LIT
nadE__b1740__JW1729	aspC__b0928__JW0911	P18843	P00509	LIT
dnaA__b3702__JW3679	aspS__b1866__JW1855	P03004	P21889	LIT
gltD__b3213__JW3180	aspS__b1866__JW1855	P09832	P21889	LIT
yibA__b3594__JW3568	asr__b1597__JW5826	P0ADK6	P36560	Y2H
groL__b4143__JW4103	astB__b1745__JW1734	P0A6F5	P76216	LIT
groL__b4143__JW4103	astC__b1748__JW1737	P0A6F5	P77581	LIT
mutH__b2831__JW2799	astD__b1746__JW5282	P06722	P76217	LIT
groL__b4143__JW4103	atoD__b2221__JW2215	P0A6F5	P76458	LIT
atpD__b3732__JW3710	atpA__b3734__JW3712	P0ABB4	P0ABB0	Y2H_LIT
cirA__b2155__JW2142	atpA__b3734__JW3712	P17315	P0ABB0	Y2H
ychH__b1205__JW1196	atpA__b3734__JW3712	P0AB49	P0ABB0	Y2H
yhaJ__b3105__JW3076	atpA__b3734__JW3712	P67660	P0ABB0	Y2H
atpA__b3734__JW3712	atpC__b3731__JW3709	P0ABB0	P0A6E6	Y2H
atpB__b3738__JW3716	atpC__b3731__JW3709	P0AB98	P0A6E6	LIT
atpC__b3731__JW3709	atpC__b3731__JW3709	P0A6E6	P0A6E6	Y2H
atpD__b3732__JW3710	atpC__b3731__JW3709	P0ABB4	P0A6E6	Y2H
atpG__b3733__JW3711	atpC__b3731__JW3709	P0ABA6	P0A6E6	Y2H
atpA__b3734__JW3712	atpD__b3732__JW3710	P0ABB0	P0ABB4	Y2H_LIT
ycbC__b0920__JW0903	atpD__b3732__JW3710	P0AB01	P0ABB4	Y2H
atpE__b3737__JW3715	atpE__b3737__JW3715	P68699	P68699	LIT
prmC__b1212__JW1203	atpG__b3733__JW3711	P0ACC1	P0ABA6	LIT
baeR__b2079__JW2064	baeR__b2079__JW2064	P69228	P69228	Y2H_LIT
leuO__b0076__JW0075	baeR__b2079__JW2064	P10151	P69228	Y2H
basS__b4112__JW4073	basR__b4113__JW4074	P30844	P30843	LIT
gltA__b0720__JW0710	bcp__b2480__JW2465	P0ABH7	P0AE52	LIT
dnaE__b0184__JW0179	bcsA__b3533__JW5665	P10443	P37653	LIT
ppiB__b0525__JW0514	bcsG__b3538__JW3506	P23869	P37659	LIT
fepC__b0588__JW0580	betA__b0311__JW0303	P23878	P17444	Y2H
surE__b2744__JW2714	betA__b0311__JW0303	P0A840	P17444	LIT
lepA__b2569__JW2553	betI__b0313__JW0305	P60785	P17446	Y2H
fecB__b4290__JW4250	bglB__b3721__JW3699	P15028	P11988	Y2H
bglG__b3723__JW3701	bglF__b3722__JW3700	P11989	P08722	LIT
crr__b2417__JW2410	bglF__b3722__JW3700	P69783	P08722	LIT
bglG__b3723__JW3701	bglG__b3723__JW3701	P11989	P11989	Y2H
nrdA__b2234__JW2228	bglX__b2132__JW2120	P00452	P33363	LIT
priC__b0467__JW0456	bioB__b0775__JW0758	P23862	P12996	Y2H
rpmD__b3302__JW3264	bioB__b0775__JW0758	P0AG51	P12996	Y2H
rpmE__b3936__JW3907	bioB__b0775__JW0758	P0A7M9	P12996	Y2H
secA__b0098__JW0096	bioB__b0775__JW0758	P10408	P12996	LIT
yedD__b1928__JW1913	bioB__b0775__JW0758	P31063	P12996	Y2H
ygiZ__b3027__JW2995	bioB__b0775__JW0758	NoData	P12996	Y2H
yqjG__b3102__JW3073	bioB__b0775__JW0758	P42620	P12996	Y2H
ytfQ__b4227__JW4186	bioB__b0775__JW0758	P39325	P12996	Y2H
groL__b4143__JW4103	bioF__b0776__JW0759	P0A6F5	P12998	LIT
bipA__b3871__JW5571	bipA__b3871__JW5571	P32132	P32132	Y2H
