protein_A	protein_B	UniProt ID (protein_A)	UniProt ID (protein_B)	source
yieN__b3746__JW3725	grpE__b2614__JW2594	P31473	P09372	LIT
grxA__b0849__JW0833	grxC__b3610__JW3585	P68688	P0AC62	Y2H_LIT
map__b0168__JW0163	gshB__b2947__JW2914	P0AE18	P04425	LIT
nadE__b1740__JW1729	gshB__b2947__JW2914	P18843	P04425	LIT
gsk__b0477__JW0466	gsk__b0477__JW0466	P0AEW6	P0AEW6	Y2H
tnaA__b3708__JW3686	gsk__b0477__JW0466	P0A853	P0AEW6	Y2H
ybhK__b0780__JW0763	gsk__b0477__JW0466	P75767	P0AEW6	Y2H
groL__b4143__JW4103	gspA__b3323__JW3285	P0A6F5	P45756	LIT
rplB__b3317__JW3279	gspE__b3326__JW3288	P60422	P45759	Y2H_LIT
dkgB__b0207__JW0197	gss__b2988__JW2956	P30863	P0AES0	LIT
fixB__b0042__JW0041	gss__b2988__JW2956	P31574	P0AES0	Y2H
rho__b3783__JW3756	gss__b2988__JW2956	P0AG30	P0AES0	Y2H
oppA__b1243__JW1235	guaA__b2507__JW2491	P23843	P04079	LIT
pepP__b2908__JW2876	guaC__b0104__JW0101	P15034	P60560	LIT
fliG__b1939__JW1923	gyrA__b2231__JW2225	P0ABZ1	P0AES4	LIT
gyrA__b2231__JW2225	gyrA__b2231__JW2225	P0AES4	P0AES4	LIT
groL__b4143__JW4103	hcaE__b2538__JW2522	P0A6F5	P0ABR5	LIT
asnC__b3743__JW3721	hchA__b1967__JW1950	P0ACI6	P31658	Y2H_LIT
clpA__b0882__JW0866	hchA__b1967__JW1950	P0ABH9	P31658	LIT
groL__b4143__JW4103	hchA__b1967__JW1950	P0A6F5	P31658	LIT
tnaA__b3708__JW3686	hchA__b1967__JW1950	P0A853	P31658	LIT
tufB__b3980__JW3943	hchA__b1967__JW1950	P0A6N1	P31658	LIT
fdhF__b4079;__JW4040	hcp__b0873__JW0857	P07658	P75825	Y2H
hcp__b0873__JW0857	hcp__b0873__JW0857	P75825	P75825	Y2H
hydN__b2713__JW2683	hcr__b0872__JW5117	P0AAK4	P75824	Y2H
moaE__b0785__JW0768	hcr__b0872__JW5117	P30749	P75824	Y2H
ybdM__b0601__JW0594	hcr__b0872__JW5117	P77174	P75824	Y2H
ydcY__b1446__JW1441	hcr__b0872__JW5117	P64455	P75824	Y2H
yffB__b2471__JW2455	hcr__b0872__JW5117	P24178	P75824	Y2H
ytfQ__b4227__JW4186	hcr__b0872__JW5117	P39325	P75824	Y2H
ada__b2213__JW2201	hda__b2496__JW5397	P06134	P69931	Y2H
dnaN__b3701__JW3678	hda__b2496__JW5397	P0A988	P69931	Y2H_LIT
hda__b2496__JW5397	hda__b2496__JW5397	P69931	P69931	Y2H
pbpG__b2134__JW5355	hda__b2496__JW5397	P0AFI5	P69931	Y2H
astE__b1744__JW1733	hdfR__b4480__JW5607	P76215	P0A8R9	Y2H
sgbE__b3583__JW3555	hdfR__b4480__JW5607	P37680	P0A8R9	Y2H
cyaA__b3806__JW3778	helD__b0962__JW0945	P00936	P15038	Y2H
groL__b4143__JW4103	helD__b0962__JW0945	P0A6F5	P15038	LIT
pepB__b2523__JW2507	helD__b0962__JW0945	P37095	P15038	LIT
tufB__b3980__JW3943	helD__b0962__JW0945	P0A6N1	P15038	LIT
ydiB__b1692__JW1682	hemE__b3997__JW3961	P0A6D5	P29680	LIT
htpG__b0473__JW0462	hemF__b2436__JW2429	P0A6Z3	P36553	LIT
nadE__b1740__JW1729	hemF__b2436__JW2429	P18843	P36553	LIT
hemA__b1210__JW1201	hemL__b0154__JW0150	P0A6X1	P23893	LIT
fnr__b1334__JW1328	hepA__b0059__JW0058	P0A9E5	P60240	LIT
rpoB__b3987__JW3950	hepA__b0059__JW0058	P0A8V2	P60240	Y2H
rpoD__b3067__JW3039	hepA__b0059__JW0058	P00579	P60240	Y2H
hns__b1237__JW1225	hha__b0460__JW0449	P0ACF8	P0ACE3	LIT
hinT__b1103__JW1089	hinT__b1103__JW1089	P0ACE7	P0ACE7	Y2H
ycgE__b1162__JW1149	hipA__b1507__JW1500	P75989	P23874	LIT
apaH__b0049__JW0048	hisB__b2022__JW2004	P05637	P06987	Y2H
hisB__b2022__JW2004	hisB__b2022__JW2004	P06987	P06987	Y2H
yliJ__b0838__JW0822	hisB__b2022__JW2004	P0ACA7	P06987	Y2H
groL__b4143__JW4103	hisH__b2023__JW2005	P0A6F5	P60595	LIT
groL__b4143__JW4103	hisP__b2306__JW2303	P0A6F5	P07109	LIT
ompA__b0957__JW0940	hlpA__b0178__JW0173	P0A910	P0AEU7	LIT
hlyE__b1182__JW5181	hlyE__b1182__JW5181	P77335	P77335	LIT
hns__b1237__JW1225	hns__b1237__JW1225	P0ACF8	P0ACF8	LIT
nrdB__b2235__JW2229	hns__b1237__JW1225	P69924	P0ACF8	LIT
dnaN__b3701__JW3678	holA__b0640__JW0635	P0A988	P28630	Y2H_LIT
NoData__b1028__JW5145	holA__b0640__JW0635	NoData	P28630	Y2H
uvrB__b0779__JW0762	holA__b0640__JW0635	P0A8F8	P28630	Y2H
yecG__b1895__JW1884	holA__b0640__JW0635	P46888	P28630	Y2H
yqjH__b3070__JW3041	holA__b0640__JW0635	Q46871	P28630	Y2H
cysJ__b2764__JW2734	holB__b1099__JW1085	P38038	P28631	LIT
dnaE__b0184__JW0179	holB__b1099__JW1085	P10443	P28631	LIT
dnaQ__b0215__JW0205	holB__b1099__JW1085	P03007	P28631	LIT
dnaX__b0470__JW0459	holB__b1099__JW1085	P06710	P28631	LIT
holA__b0640__JW0635	holB__b1099__JW1085	P28630	P28631	Y2H_LIT
holC__b4259__JW4216	holB__b1099__JW1085	P28905	P28631	Y2H_LIT
holD__b4372__JW4334	holB__b1099__JW1085	P28632	P28631	LIT
secA__b0098__JW0096	holB__b1099__JW1085	P10408	P28631	LIT
ybbN__b0492__JW5067	holB__b1099__JW1085	P77395	P28631	LIT
yneG__b1523__JW1516	holB__b1099__JW1085	P76148	P28631	Y2H
blr__b4409__JW5963	holC__b4259__JW4216	NoData	P28905	Y2H
dnaX__b0470__JW0459	holC__b4259__JW4216	P06710	P28905	Y2H_LIT
glnD__b0167__JW0162	holC__b4259__JW4216	P27249	P28905	LIT
holA__b0640__JW0635	holC__b4259__JW4216	P28630	P28905	LIT
holC__b4259__JW4216	holC__b4259__JW4216	P28905	P28905	Y2H
holD__b4372__JW4334	holC__b4259__JW4216	P28632	P28905	Y2H_LIT
secA__b0098__JW0096	holC__b4259__JW4216	P10408	P28905	LIT
dnaX__b0470__JW0459	holD__b4372__JW4334	P06710	P28632	Y2H_LIT
holA__b0640__JW0635	holD__b4372__JW4334	P28630	P28632	LIT
holC__b4259__JW4216	holD__b4372__JW4334	P28905	P28632	Y2H_LIT
secA__b0098__JW0096	holD__b4372__JW4334	P10408	P28632	LIT
accA__b0185__JW0180	holE__b1842__JW1831	P0ABD5	P0ABS8	LIT
dnaQ__b0215__JW0205	holE__b1842__JW1831	P03007	P0ABS8	Y2H_LIT
cheY__b1882__JW1871	hpt__b0125__JW5009	P0AE67	P0A9M2	LIT
aceF__b0115__JW0111	hrpA__b1413__JW5905	P06959	P43329	LIT
maeB__b2463__JW2447	hrpA__b1413__JW5905	P76558	P43329	LIT
polA__b3863__JW3835	hrpA__b1413__JW5905	P00582	P43329	LIT
rpsG__b3341__JW3303	hrpA__b1413__JW5905	P02359	P43329	LIT
aceF__b0115__JW0111	hrpB__b0148__JW0144	P06959	P37024	LIT
dnaK__b0014__JW0013	hrpB__b0148__JW0144	P0A6Y8	P37024	LIT
fdx__b2525__JW2509	hscA__b2526__JW2510	P0A9R4	P0A6Z1	LIT
ftsZ__b0095__JW0093	hscA__b2526__JW2510	P0A9A6	P0A6Z1	LIT
hscB__b2527__JW2511	hscA__b2526__JW2510	P0A6L9	P0A6Z1	LIT
iscA__b2528__JW2512	hscA__b2526__JW2510	P0AAC8	P0A6Z1	LIT
iscU__b2529__JW2513	hscA__b2526__JW2510	P0ACD4	P0A6Z1	LIT
iscU__b2529__JW2513	hscB__b2527__JW2511	P0ACD4	P0A6L9	Y2H_LIT
speA__b2938__JW2905	hscB__b2527__JW2511	P21170	P0A6L9	Y2H
yijO__b3954__JW3926	hscC__b0650__JW0645	P32677	P77319	Y2H
ung__b2580__JW2564	hsdM__b4349__JW4312	P12295	P08957	LIT
tufB__b3980__JW3943	hslO__b3401__JW5692	P0A6N1	P0A6Y5	LIT
hslR__b3400__JW3363	hslR__b3400__JW3363	P0ACG8	P0ACG8	Y2H
rpsB__b0169__JW0164	hslR__b3400__JW3363	P0A7V0	P0ACG8	LIT
ydhA__b1639__JW1631	hslR__b3400__JW3363	P28224	P0ACG8	Y2H
hslU__b3931__JW3902	hslU__b3931__JW3902	P0A6H5	P0A6H5	LIT
hslV__b3932__JW3903	hslU__b3931__JW3902	P0A7B8	P0A6H5	LIT
hslV__b3932__JW3903	hslV__b3932__JW3903	P0A7B8	P0A7B8	LIT
dnaK__b0014__JW0013	htpG__b0473__JW0462	P0A6Y8	P0A6Z3	Y2H_LIT
htpG__b0473__JW0462	htpG__b0473__JW0462	P0A6Z3	P0A6Z3	Y2H
rpoC__b3988__JW3951	htpG__b0473__JW0462	P0A8T7	P0A6Z3	LIT
leuS__b0642__JW0637	htrE__b0139__JW0135	P07813	P33129	Y2H_LIT
ybhK__b0780__JW0763	htrE__b0139__JW0135	P75767	P33129	Y2H
hupA__b4000__JW3964	hupB__b0440__JW0430	P0ACF0	P0ACF4	LIT
hyaD__b0975__JW0957	hyaA__b0972__JW0954	P19930	P69739	Y2H
hyaD__b0975__JW0957	hyaB__b0973__JW0955	P19930	P0ACD8	Y2H
hybO__b2997__JW2965	hyaB__b0973__JW0955	P69741	P0ACD8	LIT
yhhI__b3484__JW3451	hyaB__b0973__JW0955	P28912	P0ACD8	LIT
htrE__b0139__JW0135	hyaD__b0975__JW0957	P33129	P19930	Y2H
hyaB__b0973__JW0955	hyaD__b0975__JW0957	P0ACD8	P19930	Y2H
hyaD__b0975__JW0957	hyaD__b0975__JW0957	P19930	P19930	Y2H
ileS__b0026__JW0024	hyaD__b0975__JW0957	P00956	P19930	Y2H_LIT
leuS__b0642__JW0637	hyaD__b0975__JW0957	P07813	P19930	Y2H
ligA__b2411__JW2403	hyaD__b0975__JW0957	P15042	P19930	Y2H
rbsB__b3751__JW3730	hyaD__b0975__JW0957	P02925	P19930	Y2H
topA__b1274__JW1266	hyaD__b0975__JW0957	P06612	P19930	Y2H
ybhK__b0780__JW0763	hyaD__b0975__JW0957	P75767	P19930	Y2H
ydbD__b1407__JW5221	hyaD__b0975__JW0957	P25907	P19930	Y2H
yhgG__b3410__JW3373	hyaD__b0975__JW0957	P64638	P19930	Y2H
yjgL__b4253__JW5757	hyaD__b0975__JW0957	P39336	P19930	Y2H
arsR__b3501__JW3468	hyaF__b0977__JW0959	P37309	P19932	Y2H
hyaA__b0972__JW0954	hyaF__b0977__JW0959	P69739	P19932	Y2H
fklB__b4207__JW5746	hybA__b2996__JW2964	P0A9L3	P0AAJ8	Y2H
frlC__b4474__JW5699	hybA__b2996__JW2964	P45541	P0AAJ8	Y2H
hypC__b2728__JW2698	hybG__b2990__JW2958	P0AAM3	P0AAM7	Y2H
hypD__b2729__JW2699	hybG__b2990__JW2958	P24192	P0AAM7	Y2H
bolA__b0435__JW5060	hybO__b2997__JW2965	P0ABE2	P69741	Y2H
citB__b0620__JW0612	hybO__b2997__JW2965	P0AEF4	P69741	Y2H
citC__b0618__JW0610	hybO__b2997__JW2965	P77390	P69741	Y2H
glyQ__b3560__JW3531	hybO__b2997__JW2965	P00960	P69741	Y2H
hcr__b0872__JW5117	hybO__b2997__JW2965	P75824	P69741	Y2H
hybE__b2992__JW2960	hybO__b2997__JW2965	P0AAN1	P69741	LIT
mhpF__b0351__JW0342	hybO__b2997__JW2965	P77580	P69741	Y2H
napD__b2207__JW2195	hybO__b2997__JW2965	P0A9I5	P69741	Y2H_LIT
trxA__b3781__JW5856	hybO__b2997__JW2965	P0AA25	P69741	Y2H
yggW__b2955__JW2922	hybO__b2997__JW2965	P52062	P69741	Y2H
yjfN__b4188__JW5742	hybO__b2997__JW2965	P0AF82	P69741	Y2H
hybG__b2990__JW2958	hycE__b2721__JW2691	P0AAM7	P16431	Y2H
hycI__b2717__JW2687	hycE__b2721__JW2691	P0AEV9	P16431	LIT
hypE__b2730__JW2700	hycE__b2721__JW2691	P24193	P16431	Y2H
trxA__b3781__JW5856	hycF__b2720__JW2690	P0AA25	P16432	Y2H
hycG__b2719__JW2689	hycG__b2719__JW2689	P16433	P16433	Y2H
metN__b0199__JW0195	hycG__b2719__JW2689	P30750	P16433	Y2H_LIT
mntR__b0817__JW0801	hycG__b2719__JW2689	P0A9F1	P16433	Y2H
yraM__b3147__JW3116	hycG__b2719__JW2689	P45464	P16433	LIT
aceE__b0114__JW0110	hycI__b2717__JW2687	P0AFG8	P0AEV9	LIT
cysM__b2421__JW2414	hydN__b2713__JW2683	P16703	P0AAK4	Y2H
fklB__b4207__JW5746	hydN__b2713__JW2683	P0A9L3	P0AAK4	Y2H
galE__b0759__JW0742	hydN__b2713__JW2683	P09147	P0AAK4	Y2H
groL__b4143__JW4103	hydN__b2713__JW2683	P0A6F5	P0AAK4	LIT
hcaD__b2542__JW2526	hydN__b2713__JW2683	P77650	P0AAK4	Y2H
insO__b0257__JW0247	hydN__b2713__JW2683	P75680	P0AAK4	Y2H
mhpB__b0348__JW0339	hydN__b2713__JW2683	P0ABR9	P0AAK4	Y2H
sgbE__b3583__JW3555	hydN__b2713__JW2683	P37680	P0AAK4	Y2H
speA__b2938__JW2905	hydN__b2713__JW2683	P21170	P0AAK4	Y2H
ybdH__b0599__JW0592	hydN__b2713__JW2683	P45579	P0AAK4	Y2H
ybdM__b0601__JW0594	hydN__b2713__JW2683	P77174	P0AAK4	Y2H
yggW__b2955__JW2922	hydN__b2713__JW2683	P52062	P0AAK4	Y2H
murE__b0085__JW0083	hyfB__b2482__JW2467	P22188	P23482	LIT
ychJ__b1233__JW1221	hyfB__b2482__JW2467	P37052	P23482	LIT
groL__b4143__JW4103	hyfG__b2487__JW2472	P0A6F5	P77329	LIT
ybdK__b0581__JW0570	hypA__b2726__JW2696	P77213	P0A700	Y2H
hycE__b2721__JW2691	hypC__b2728__JW2698	P16431	P0AAM3	LIT
groL__b4143__JW4103	hypD__b2729__JW2699	P0A6F5	P24192	LIT
hybG__b2990__JW2958	hypD__b2729__JW2699	P0AAM7	P24192	Y2H
hypE__b2730__JW2700	hypD__b2729__JW2699	P24193	P24192	LIT
tufB__b3980__JW3943	hypD__b2729__JW2699	P0A6N1	P24192	LIT
hypE__b2730__JW2700	hypE__b2730__JW2700	P24193	P24193	Y2H
hypE__b2730__JW2700	hypF__b2712__JW5433	P24193	P30131	Y2H
ibpB__b3686__JW3663	ibpA__b3687__JW3664	P0C058	P0C054	LIT
ibpB__b3686__JW3663	ibpB__b3686__JW3663	P0C058	P0C058	Y2H
aceK__b4016__JW3976	icd__b1136__JW1122	P11071	P08200	Y2H_LIT
aceF__b0115__JW0111	iclR__b4018__JW3978	P06959	P16528	LIT
iclR__b4018__JW3978	iclR__b4018__JW3978	P16528	P16528	LIT
lpd__b0116__JW0112	idnD__b4267__JW4224	P0A9P0	P39346	LIT
groL__b4143__JW4103	idnR__b4264__JW4221	P0A6F5	P39343	LIT
ybhK__b0780__JW0763	idnT__b4265__JW4222	P75767	P39344	LIT
fis__b3261__JW3229	ihfB__b0912__JW0895	P0A6R3	P0A6Y1	LIT
tufB__b3980__JW3943	ileS__b0026__JW0024	P0A6N1	P00956	LIT
ilvB__b3671__JW3646	ilvB__b3671__JW3646	P08142	P08142	Y2H
lpxK__b0915__JW0898	ilvB__b3671__JW3646	P27300	P08142	LIT
metN__b0199__JW0195	ilvD__b3771__JW5605	P30750	P05791	LIT
ilvH__b0078__JW0077	ilvH__b0078__JW0077	P00894	P00894	Y2H_LIT
groL__b4143__JW4103	ilvI__b0077__JW0076	P0A6F5	P00893	LIT
ilvH__b0078__JW0077	ilvI__b0077__JW0076	P00894	P00893	Y2H
ilvI__b0077__JW0076	ilvI__b0077__JW0076	P00893	P00893	Y2H
leuB__b0073__JW5807	ilvI__b0077__JW0076	P30125	P00893	Y2H
rimM__b2608__JW5413	ilvI__b0077__JW0076	P0A7X6	P00893	Y2H
ilvB__b3671__JW3646	ilvM__b3769__JW3742	P08142	P0ADG1	Y2H
ilvB__b3671__JW3646	ilvN__b3670__JW3645	P08142	P0ADF8	Y2H
citE__b0616__JW0608	ilvY__b3773__JW3746	P0A9I1	P05827	Y2H
cyaA__b3806__JW3778	ilvY__b3773__JW3746	P00936	P05827	Y2H
priC__b0467__JW0456	ilvY__b3773__JW3746	P23862	P05827	Y2H
yadE__b0130__JW0126	ilvY__b3773__JW3746	P31666	P05827	Y2H
dnaJ__b0015__JW0014	imp__b0054__JW0053	P08622	P31554	LIT
rlpB__b0641__JW0636	imp__b0054__JW0053	P0ADC1	P31554	LIT
yaeP__b4406__JW0185	inaA__b2237__JW2231	P0A8K5	P27294	LIT
frdA__b4154__JW4115	insL__b2394__JW5390	P00363	P08409	LIT
asr__b1597__JW5826	insM__b4561__JW5772	P36560	NoData	Y2H
astE__b1744__JW1733	insM__b4561__JW5772	P76215	NoData	Y2H
bolA__b0435__JW5060	insM__b4561__JW5772	P0ABE2	NoData	Y2H
citB__b0620__JW0612	insM__b4561__JW5772	P0AEF4	NoData	Y2H
citE__b0616__JW0608	insM__b4561__JW5772	P0A9I1	NoData	Y2H
citX__b0614__JW0606	insM__b4561__JW5772	P0A6G5	NoData	Y2H
clpA__b0882__JW0866	insM__b4561__JW5772	P0ABH9	NoData	Y2H
entB__b0595__JW0587	insM__b4561__JW5772	P0ADI4	NoData	Y2H
eptB__b3546__JW5660	insM__b4561__JW5772	P37661	NoData	Y2H
eutA__b2451__JW2435	insM__b4561__JW5772	P76551	NoData	Y2H
fdx__b2525__JW2509	insM__b4561__JW5772	P0A9R4	NoData	Y2H
fecB__b4290__JW4250	insM__b4561__JW5772	P15028	NoData	Y2H
fliG__b1939__JW1923	insM__b4561__JW5772	P0ABZ1	NoData	Y2H
fliM__b1945__JW1929	insM__b4561__JW5772	P06974	NoData	Y2H
fliT__b1926__JW1911	insM__b4561__JW5772	P0ABY2	NoData	Y2H
fsaB__b3946__JW3918	insM__b4561__JW5772	P32669	NoData	Y2H
gcvR__b2479__JW2464	insM__b4561__JW5772	P0A9I3	NoData	Y2H
grxA__b0849__JW0833	insM__b4561__JW5772	P68688	NoData	Y2H
gutQ__b2708__JW5431	insM__b4561__JW5772	P17115	NoData	Y2H
hcr__b0872__JW5117	insM__b4561__JW5772	P75824	NoData	Y2H
hda__b2496__JW5397	insM__b4561__JW5772	P69931	NoData	Y2H
hpt__b0125__JW5009	insM__b4561__JW5772	P0A9M2	NoData	Y2H
hslR__b3400__JW3363	insM__b4561__JW5772	P0ACG8	NoData	Y2H
hupB__b0440__JW0430	insM__b4561__JW5772	P0ACF4	NoData	Y2H
hybG__b2990__JW2958	insM__b4561__JW5772	P0AAM7	NoData	Y2H
hyfR__b2491__JW2476	insM__b4561__JW5772	P71229	NoData	Y2H
lsrG__b1518__JW1511	insM__b4561__JW5772	P64461	NoData	Y2H
malT__b3418__JW3381	insM__b4561__JW5772	P06993	NoData	Y2H
mhpF__b0351__JW0342	insM__b4561__JW5772	P77580	NoData	Y2H
moaD__b0784__JW0767	insM__b4561__JW5772	P30748	NoData	Y2H
mukE__b0923__JW0906	insM__b4561__JW5772	P22524	NoData	Y2H
nadA__b0750__JW0733	insM__b4561__JW5772	P11458	NoData	Y2H
NoData__b0229__JW5811	insM__b4561__JW5772	NoData	NoData	Y2H
nrdH__b2673__JW2648	insM__b4561__JW5772	P0AC65	NoData	Y2H
pheS__b1714__JW5277	insM__b4561__JW5772	P08312	NoData	Y2H
pncB__b0931__JW0914	insM__b4561__JW5772	P18133	NoData	Y2H
ptsN__b3204__JW3171	insM__b4561__JW5772	P69829	NoData	Y2H
recD__b2819__JW2787	insM__b4561__JW5772	P04993	NoData	Y2H
recJ__b2892__JW2860	insM__b4561__JW5772	P21893	NoData	Y2H
rimM__b2608__JW5413	insM__b4561__JW5772	P0A7X6	NoData	Y2H
rnk__b0610__JW0602	insM__b4561__JW5772	P0AFW4	NoData	Y2H
rpoD__b3067__JW3039	insM__b4561__JW5772	P00579	NoData	Y2H
rpoE__b2573__JW2557	insM__b4561__JW5772	P0AGB6	NoData	Y2H
sgcA__b4302__JW4264	insM__b4561__JW5772	P39363	NoData	Y2H
uvrB__b0779__JW0762	insM__b4561__JW5772	P0A8F8	NoData	Y2H
yaiA__b0389__JW0380	insM__b4561__JW5772	P0AAN5	NoData	Y2H
yaiE__b0391__JW0382	insM__b4561__JW5772	P0C037	NoData	Y2H
yaiI__b0387__JW0378	insM__b4561__JW5772	P0A8D3	NoData	Y2H
ybdL__b0600__JW0593	insM__b4561__JW5772	P77806	NoData	Y2H
ybdZ__b4511__JW0577	insM__b4561__JW5772	P18393	NoData	Y2H
yceP__b1060__JW5152	insM__b4561__JW5772	P0AB33	NoData	Y2H
ydcJ__b1423__JW1419	insM__b4561__JW5772	P76097	NoData	Y2H
yecI__b1902__JW1890	insM__b4561__JW5772	P0A9A2	NoData	Y2H
yedD__b1928__JW1913	insM__b4561__JW5772	P31063	NoData	Y2H
yedJ__b1962__JW1945	insM__b4561__JW5772	P46144	NoData	Y2H
yeeW__b2006__JW1988	insM__b4561__JW5772	P64526	NoData	Y2H
yehI__b2118__JW2105	insM__b4561__JW5772	P33346	NoData	Y2H
yfdM__b2356__JW2352	insM__b4561__JW5772	P76509	NoData	Y2H
yffB__b2471__JW2455	insM__b4561__JW5772	P24178	NoData	Y2H
yiaJ__b3574__JW3546	insM__b4561__JW5772	P37671	NoData	Y2H
yibT__b4554__JW3576	insM__b4561__JW5772	Q2M7R5	NoData	Y2H
yjgZ__b4277__JW4236	insM__b4561__JW5772	NoData	NoData	Y2H
yrbB__b3191__JW5535	insM__b4561__JW5772	P64602	NoData	Y2H
clpA__b0882__JW0866	insN__b0255__JW5024	P0ABH9	P75679	Y2H
moaD__b0784__JW0767	insN__b0255__JW5024	P30748	P75679	Y2H
pheS__b1714__JW5277	insN__b0255__JW5024	P08312	P75679	Y2H
recD__b2819__JW2787	insN__b0255__JW5024	P04993	P75679	Y2H
yaiE__b0391__JW0382	insN__b0255__JW5024	P0C037	P75679	Y2H
ybjN__b0853__JW0837	insN__b0255__JW5024	P0AAY6	P75679	Y2H
ycbW__b0946__JW5125	insN__b0255__JW5024	P75862	P75679	Y2H
ydcJ__b1423__JW1419	insN__b0255__JW5024	P76097	P75679	Y2H
yecI__b1902__JW1890	insN__b0255__JW5024	P0A9A2	P75679	Y2H
aceF__b0115__JW0111	intA__b2622__JW2602	P06959	P32053	LIT
ebgA__b3076__JW5511	intA__b2622__JW2602	P06864	P32053	Y2H
treC__b4239__JW4198	intD__b0537__JW0525	P28904	P24218	Y2H
holC__b4259__JW4216	intE__b1140__JW1126	P28905	P75969	LIT
xseA__b2509__JW2493	intQ__b1579__JW1571	P04994	P76168	Y2H_LIT
rspA__b1581__JW1573	intR__b1345__JW1339	P38104	P76056	LIT
aceF__b0115__JW0111	intS__b2349__JW2345	P06959	P37326	LIT
iscR__b2531__JW2515	iscR__b2531__JW2515	P0AGK8	P0AGK8	Y2H
fdx__b2525__JW2509	iscS__b2530__JW2514	P0A9R4	P0A6B7	LIT
iscU__b2529__JW2513	iscS__b2530__JW2514	P0ACD4	P0A6B7	LIT
yhhH__b3483__JW3449	iscS__b2530__JW2514	NoData	P0A6B7	Y2H
yhhP__b3470__JW3435	iscS__b2530__JW2514	P0A890	P0A6B7	Y2H
iscU__b2529__JW2513	iscU__b2529__JW2513	P0ACD4	P0ACD4	Y2H_LIT
eutQ__b2460__JW2444	ispA__b0421__JW0411	P76555	P22939	LIT
flxA__b1566__JW1558	ispA__b0421__JW0411	P77609	P22939	Y2H_LIT
ispA__b0421__JW0411	ispA__b0421__JW0411	P22939	P22939	Y2H
purT__b1849__JW1838	ispA__b0421__JW0411	P33221	P22939	Y2H_LIT
rplB__b3317__JW3279	ispB__b3187__JW3154	P60422	P0AD57	LIT
glmS__b3729__JW3707	ispE__b1208__JW1199	P17169	P62615	LIT
rfaD__b3619__JW3594	ispF__b2746__JW2716	P67910	P62617	LIT
dnaK__b0014__JW0013	ispH__b0029__JW0027	P0A6Y8	P62623	LIT
ybbL__b0490__JW0479	ispH__b0029__JW0027	P77279	P62623	Y2H
katE__b1732__JW1721	katE__b1732__JW1721	P21179	P21179	Y2H
murE__b0085__JW0083	katG__b3942__JW3914	P22188	P13029	LIT
rplL__b3986__JW3949	kbaY__b3137__JW3106	P0A7K2	P0AB74	LIT
kbl__b3617__JW3592	kbl__b3617__JW3592	P0AB77	P0AB77	Y2H
kdgK__b3526__JW5668	kdgK__b3526__JW5668	P37647	P37647	Y2H
menD__b2264__JW5374	kdgK__b3526__JW5668	P17109	P37647	Y2H
topA__b1274__JW1266	kdgK__b3526__JW5668	P06612	P37647	LIT
yebV__b1836__JW5302	kdgR__b1827__JW1816	P64503	P76268	Y2H
kdpD__b0695__JW0683	kdpD__b0695__JW0683	P21865	P21865	Y2H_LIT
creB__b4398__JW4361	kdpE__b0694__JW5096	P08368	P21866	LIT
kdpD__b0695__JW0683	kdpE__b0694__JW5096	P21865	P21866	Y2H_LIT
pepB__b2523__JW2507	kdsB__b0918__JW0901	P37095	P04951	LIT
tufB__b3980__JW3943	kdsB__b0918__JW0901	P0A6N1	P04951	LIT
araG__b1900__JW1888	kefF__b0046__JW0045	P0AAF3	P0A754	Y2H
ptsP__b2829__JW2797	kefG__b3351__JW3314	P37177	P0A756	Y2H
lacI__b0345__JW0336	lacI__b0345__JW0336	P03023	P03023	LIT
glcB__b2976__JW2943	lacY__b0343__JW0334	P37330	P02920	LIT
groL__b4143__JW4103	lacY__b0343__JW0334	P0A6F5	P02920	LIT
lacI__b0345__JW0336	lacZ__b0344__JW0335	P03023	P00722	LIT
malE__b4034__JW3994	lamB__b4036__JW3996	P0AEX9	P02943	LIT
secA__b0098__JW0096	lamB__b4036__JW3996	P10408	P02943	LIT
secB__b3609__JW3584	lamB__b4036__JW3996	P0AG86	P02943	LIT
tolA__b0739__JW0729	lamB__b4036__JW3996	P19934	P02943	LIT
tolB__b0740__JW5100	lamB__b4036__JW3996	P0A855	P02943	LIT
lepB__b2568__JW2552	lepB__b2568__JW2552	P00803	P00803	LIT
groL__b4143__JW4103	leuA__b0074__JW0073	P0A6F5	P09151	LIT
leuB__b0073__JW5807	leuB__b0073__JW5807	P30125	P30125	LIT
leuD__b0071__JW0070	leuC__b0072__JW0071	P30126	P0A6A6	Y2H
leuC__b0072__JW0071	leuD__b0071__JW0070	P0A6A6	P30126	Y2H
leuD__b0071__JW0070	leuD__b0071__JW0070	P30126	P30126	Y2H
talB__b0008__JW0007	leuD__b0071__JW0070	P0A870	P30126	Y2H
ligA__b2411__JW2403	leuS__b0642__JW0637	P15042	P07813	Y2H_LIT
topA__b1274__JW1266	leuS__b0642__JW0637	P06612	P07813	Y2H_LIT
chbR__b1735__JW1724	lexA__b4043__JW4003	P17410	P0A7C2	Y2H
lexA__b4043__JW4003	lexA__b4043__JW4003	P0A7C2	P0A7C2	Y2H
rhaR__b3906__JW3877	lexA__b4043__JW4003	P09378	P0A7C2	Y2H
rhaS__b3905__JW3876	lexA__b4043__JW4003	P09377	P0A7C2	Y2H
rpoD__b3067__JW3039	lexA__b4043__JW4003	P00579	P0A7C2	Y2H
